"taxa_name","ZIG_grouping","other_grouping","genus","species","invasive"
"Ascomorpha ecaudis","rotifer",NA,"Ascomorpha","ecaudis","n"
"Asplanchna priodonta","rotifer",NA,"Asplanchna","priodonta","n"
"Bosmina longirostris","bosmina",NA,"Bosmina","longirostris","n"
"Brachionus angularis","rotifer",NA,"Brachionus","angularis","n"
"Brachionus diversicornis","rotifer",NA,"Brachionus","diversicornis","n"
"Cephalodella gibba","rotifer",NA,"Cephalodella","gibba","n"
"Cephalodella gr. ventripes","rotifer",NA,"Cephalodella",NA,"n"
"Cephalodella megalocephala","rotifer",NA,"Cephalodella","megalocephala","n"
"Cephalodella sp.","rotifer",NA,"Cephalodella",NA,"n"
"Cyclopoida copepoditi","cyclopoid",NA,"Cyclopoida","copepoditi","n"
"Cyclops strenuus","cyclopoid",NA,"Cyclops","strenuus","n"
"Daphnia gr. longispina","daphnia",NA,"Daphnia",NA,"n"
"Euchlanis dilatata","rotifer",NA,"Euchlanis","dilatata","n"
"Filinia longiseta","rotifer",NA,"Filinia","longiseta","n"
"Filinia terminalis","rotifer",NA,"Filinia","terminalis","n"
"Gastropus stylifer","rotifer",NA,"Gastropus","stylifer","n"
"Keratella cochlearis","rotifer",NA,"Keratella","cochlearis","n"
"Keratella hiemalis","rotifer",NA,"Keratella","hiemalis","n"
"Lecane closterocerca","rotifer",NA,"Lecane","closterocerca","n"
"Lecane flexilis","rotifer",NA,"Lecane","flexilis","n"
"Lecane gr. lunaris","rotifer",NA,"Lecane",NA,"n"
"Lecane luna","rotifer",NA,"Lecane","luna","n"
"Lecane subtilis","rotifer",NA,"Lecane","subtilis","n"
"Lepadella patella","rotifer",NA,"Lepadella","patella","n"
"Lepatella sp.","rotifer",NA,"Lepatella",NA,"n"
"nauplii","nauplii",NA,NA,NA,"n"
"Notholca gr labis acuminata","rotifer",NA,"Notholca",NA,"n"
"Notholca squamula","rotifer",NA,"Notholca","squamula","n"
"Polyarthra dolichoptera","rotifer",NA,"Polyarthra","dolichoptera","n"
"Synchaeta gr. stylata pectinata","rotifer",NA,"Synchaeta",NA,"n"
"Synchaeta grandis","rotifer",NA,"Synchaeta","grandis","n"
"Synchaeta kitina","rotifer",NA,"Synchaeta","kitina","n"
"Synchaeta lakowitziana","rotifer",NA,"Synchaeta","lakowitziana","n"
"Synchaeta trem/obl","rotifer",NA,"Synchaeta","tremula/oblonga","n"
"Testudinella patina","rotifer",NA,"Testudinella","patina","n"
"Trichocerca cavia","rotifer",NA,"Trichocerca","cavia","n"
"Trichocerca longiseta","rotifer",NA,"Trichocerca","longiseta","n"
