"waterbody_name","stationid","year_yyyy","month_mm","day_of_month_dd","time_hhmm","time_of_day","surf_or_int","surface_ph","surface_chla_ug_l","surface_tp_ug_l","secchi_depth_m","surface_temp_c","hypo_temp_c","thermocline_depth","NO2NO3_mgL","silica_mgL","dissolved_P_ugL","TKN_mgL","do_epi_mgL","do_hypo_mgL","conductivity_umho_cm","DOC_um","DIC_um","chloride_mgL","alkalinity_mgL","hardness_mgL","turbidity_NTU","TN_mgL"
"Tovel","A",2002,1,9,1200,"day","surf",7.34,1.72,4,12.9,3.6,4.9,NA,0.33,0.71,4,NA,8.86,1.63833333333333,192,NA,NA,0.38,112,114.38,NA,0.41
"Tovel","A",2002,3,26,1200,"day","surf",7.1,2.73,7.5,8.1,1.12,4.9,NA,0.32,0.58,7.5,NA,11.21,0.238,184,NA,NA,0.24,105,108.354,NA,0.36
"Tovel","A",2002,4,23,1200,"day","surf",8.14,2.51,8,10.3,6.39,4.9,NA,0.27,0.52,8,NA,11.52,0.195454545454545,169,NA,NA,0.3,97,98.918,NA,0.37
"Tovel","A",2002,5,8,1200,"day","surf",8.03,1.51,8.5,3.4,8.13,5.2,NA,0.38,0.6,8.5,NA,10.58,5.28466666666667,175,NA,NA,0.22,103,106.194,NA,0.45
"Tovel","A",2002,6,19,1200,"day","surf",8.05,2.93,1,12.6,19.37,5.2,NA,0.4,0.715,1,NA,8.77,3.682,170,NA,NA,0.26,99,102.028,NA,0.5
"Tovel","A",2002,6,26,1200,"day","surf",9.04,NA,NA,NA,15.25,5.3,NA,0.455,0.6975,2,NA,8.04,7.19071428571429,167.5,NA,NA,0.36,97,100.186,NA,0.5
"Tovel","A",2002,7,2,1200,"day","surf",7.97,2.24,3,13.1,12.98,5.3,NA,0.51,0.68,3,NA,9.59,3.36928571428572,165,NA,NA,0.46,95,98.344,NA,0.5
"Tovel","A",2002,7,16,1200,"day","surf",8.16,1.01,2,12.2,12.24,5.3,NA,0.43,0.703,2,NA,9.32,2.81714285714286,160,NA,NA,0.22,92,93.816,NA,0.5
"Tovel","A",2002,7,30,1200,"day","surf",8.44,1.64,3,12.5,17.68,5.3,NA,0.41,0.56,3,NA,8.51,2.90153846153846,169,NA,NA,0.2,98,98.38,NA,0.52
"Tovel","A",2002,8,13,1200,"day","surf",8.11,1.71,5.5,10.9,13.51,5.3,NA,0.4,0.65,5.5,NA,9.14,3.33,167,NA,NA,0.2,96,97.752,NA,0.495
"Tovel","A",2002,8,21,1200,"day","surf",8.24,2.185,3,11.7,15.5,5.4,NA,0.39,0.66,3,NA,10.01,3.58642857142857,171,NA,NA,0.16,99,100.678,NA,0.47
"Tovel","A",2002,9,3,1200,"day","surf",8.02,2.15,3,11,11.7,5.4,NA,0.37,0.43,3,NA,9.17,2.505,168,NA,NA,0.18,97,98.546,NA,0.47
"Tovel","A",2002,9,18,1200,"day","surf",8.02,1.57,0,13.5,11.7,5.4,NA,0.38,0.5,2,NA,9.17,2.505,174,NA,NA,0.19,101,103.688,NA,0.44
"Tovel","A",2002,10,15,1200,"day","surf",8.37,1.44,1,18.5,9.36,5.4,NA,0.406,0.37,1,NA,10.34,2.45428571428571,176,NA,NA,0.22,103,106.404,NA,0.44
"Tovel","A",2002,10,30,1200,"day","surf",8.37,1.43,2.5,12,7.76,5.4,NA,0.43,0.42,2.5,NA,10.25,2.10714285714286,182,NA,NA,0.32,105,108.83,NA,0.46
"Tovel","A",2002,11,12,1200,"day","surf",NA,1.75,1,13,6.3,5.4,NA,0.39,0.46,1,NA,10.7,3.17923076923077,187,NA,NA,0.82,108,110.876,NA,0.44
"Tovel","A",2002,11,28,1200,"day","surf",NA,0.92,5,5.2,5.2,5.3,NA,0.47,0.72,5,NA,11.33,5.20615384615385,181,NA,NA,0.45,105,109.162,NA,0.47
"Tovel","A",2003,1,21,1200,"day","surf",7.61,1.44,7,7.1,2.05,4.4,NA,0.44,0.78,7,NA,11.96,7.23307692307692,194,NA,NA,0.37,117,119.896,NA,0.49
"Tovel","A",2003,4,22,1200,"day","surf",8.46,2.43,1.5,10.4,8.23,4.6,NA,0.35,0.5,1.5,NA,9.71,4.444,185,NA,NA,0.38,108,108.9443775,NA,0.42
"Tovel","A",2003,6,3,1200,"day","surf",8.31,2.12,3.5,10.5,14.87,4.7,NA,0.39,0.37,3.5,NA,8.86,4.30285714285714,179,NA,NA,0.27,104,106.736,NA,0.47
"Tovel","A",2003,7,2,1200,"day","surf",8.48,3.16,3,8.3,15.76,4.8,NA,0.34,0.25,3,NA,8.74,5.17071428571428,167,NA,NA,0.22,95,125.3214375,NA,0.38
"Tovel","A",2003,7,30,1200,"day","surf",8.43,2.79,NA,10.1,17.76,4.8,NA,0.34,0.05,4,NA,8.13,3.87846153846154,165,NA,NA,0.2,95,112.6261375,NA,0.37
"Tovel","A",2003,8,7,1200,"day","surf",8.47,NA,5,11.1,20.35,4.9,NA,0.37,0.1,5,NA,6.57,3.02230769230769,167,NA,NA,0.42,96.6,99.9308375,NA,0.46
"Tovel","A",2003,8,27,1200,"day","surf",8.49,2.04,1.5,10.8,18,4.9,NA,0.3,0.12,1.5,NA,8.39,3.44846153846154,165,NA,NA,0.28,94,97.283865,NA,0.4
"Tovel","A",2003,9,10,1200,"day","surf",8.48,NA,2.5,NA,14.27,4.9,NA,0.3274,0.25,2.5,NA,8.43,2.97916666666667,165,NA,NA,0.4031,95,97.0702,NA,0.43
"Tovel","A",2003,9,24,1200,"day","surf",9.33,1.33,1.5,16,14.34,4.9,NA,0.31,0.24,1.5,NA,8.66,2.71583333333333,166,NA,NA,0.38,95,97.7579310344828,NA,0.359
"Tovel","A",2003,10,8,1200,"day","surf",NA,NA,5.5,NA,11.83,4.9,NA,0.32,0.24,5.5,NA,0,8.36454545454545,168,NA,NA,0.66,95,99.986,NA,0.709
"Tovel","A",2003,10,22,1200,"day","surf",NA,0.96,3,18,10.23,4.9,NA,0.33,0.33,3,NA,9.95,3.06909090909091,170,NA,NA,0.27,97,101.52,NA,0.396
"Tovel","A",2003,11,18,1200,"day","surf",NA,NA,NA,20.5,6,5.2,NA,0.3431,0.3,2,NA,10.5,3.233,173,NA,NA,0.2786,99,101.345,NA,0.42
"Tovel","A",2004,2,4,1200,"day","surf",8.24,0.57,4.8,9.2,1.01,4.6,NA,0.3991,0.81,4.8,NA,8.87,3.02181818181818,186,NA,NA,0.4272,105,107.72164,NA,0.49
"Tovel","A",2004,5,11,1200,"day","surf",7.96,4.47,4.5,12.3,7.08,4.5,NA,0.4092,0.34,4.5,NA,11.21,4.656,178,NA,NA,0.4236,102,105.566,NA,0.453
"Tovel","A",2004,6,8,1200,"day","surf",7.82,2.66,3.1,10.6,12.03,4.6,NA,0.5503,0.788,3.1,NA,10.62,4.122,191,NA,NA,0.2357,111,114.94309,NA,0.574
"Tovel","A",2004,7,6,1200,"day","surf",8.21,NA,2.9,7.8,14.64,4.7,NA,0.421,0.39,2.9,NA,9.48,3.65266666666667,173,NA,NA,0.2631,101,105.826,NA,0.416
"Tovel","A",2004,8,3,1200,"day","surf",8.16,1.16,2.4,14.4,16.6,4.8,NA,0.3605,0.64,2.4,NA,9.54,3.86866666666667,168.5,NA,NA,0.1571,98,100.35,NA,0.48
"Tovel","A",2004,9,1,1200,"day","surf",8.43,1.36,1.9,11.7,14.88,4.8,NA,0.3114,0.4,1.9,NA,9.54,3.44428571428571,164,NA,NA,0.1394,95,96.048,NA,0.397
"Tovel","A",2004,9,29,1200,"day","surf",8.43,2.53,3.2,9.7,11.37,4.9,NA,0.416,0.384,3.2,NA,11.03,3.02642857142857,163,NA,NA,0.5073,95,101.94,NA,0.385
"Tovel","A",2004,10,26,1200,"day","surf",8.15,2.76,3,10.4,10.25,4.9,NA,0.3157,0.23,3,NA,11.25,2.61857142857143,161,NA,NA,0.2046,96,98.29136,NA,0.377
