"waterbody_name","stationid","year_yyyy","month_mm","day_of_month_dd","time_hhmm","time_of_day","genus","species","top_tow_m","bottom_tow_m","zoop_sampler_type","zoop_mesh_um","zoop_net_mouth_area_cm2","min_counts","density_units","biomass_dry_wet","biomass_units","time_zone","biomass_value","density_value"
"Tovel","A",2002,1,9,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.738238961038961,0.0519480519480519
"Tovel","A",2002,3,26,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2002,4,23,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2002,5,8,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.07389772,0.0052
"Tovel","A",2002,6,19,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,1.47592424285714,0.103857142857143
"Tovel","A",2002,6,26,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,2.14128056246753,0.150676623376623
"Tovel","A",2002,7,2,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,29.8990470415584,2.10392207792208
"Tovel","A",2002,7,15,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,19.5633324675325,1.37662337662338
"Tovel","A",2002,7,30,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,29.160438961039,2.05194805194805
"Tovel","A",2002,8,13,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,12.9191818181818,0.909090909090909
"Tovel","A",2002,8,21,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,23.9927662337662,1.68831168831169
"Tovel","A",2002,9,3,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,18.455974025974,1.2987012987013
"Tovel","A",2002,9,18,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2002,10,15,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.738238961038961,0.0519480519480519
"Tovel","A",2002,10,30,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2002,11,12,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.29559088,0.0208
"Tovel","A",2002,11,28,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,1,21,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,4,22,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.738238961038961,0.051948051948052
"Tovel","A",2003,6,3,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,1.47647792207792,0.103896103896104
"Tovel","A",2003,7,2,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,8.85886753246753,0.623376623376623
"Tovel","A",2003,7,30,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,8.85886753246753,0.623376623376623
"Tovel","A",2003,8,7,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,2.21471688311688,0.155844155844156
"Tovel","A",2003,8,21,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.246079653679654,0.0173160173160173
"Tovel","A",2003,9,10,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,9,24,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,10,8,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,10,22,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2003,11,18,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2004,2,4,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2004,5,11,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2004,6,8,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2004,7,6,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,4.42943376623377,0.311688311688312
"Tovel","A",2004,8,3,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,2.21471688311688,0.155844155844156
"Tovel","A",2004,9,1,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,4.42943376623377,0.311688311688312
"Tovel","A",2004,9,29,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,2.21471688311688,0.155844155844156
"Tovel","A",2004,10,26,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2004,11,23,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2005,4,27,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2005,5,10,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2005,6,8,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0.738238961038961,0.0519480519480519
"Tovel","A",2005,7,5,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
"Tovel","A",2005,8,2,12:00:00,"day","Ascomorpha","ecaudis",0,35,"bottle+net",20,31.4,364,"ind_L","dry","ug_m3",1,0,0
