"","waterbody_name","stationid","year_yyyy","month_mm","day_of_month_dd","time_hhmm","time_of_day","taxa_name","top_tow_m","bottom_tow_m","zoop_sampler_type","zoop_mesh_um","zoop_net_mouth_area_cm2","min_counts","density_value","density_units","biomass_value","biomass_dry_wet","biomass_units","time_zone"
"1","Tovel","A",2002,1,9,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.0519480519480519,"ind_L",0.738238961038961,"dry","ug_m3",1
"2","Tovel","A",2002,3,26,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"3","Tovel","A",2002,4,23,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"4","Tovel","A",2002,5,8,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.0052,"ind_L",0.07389772,"dry","ug_m3",1
"5","Tovel","A",2002,6,19,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.103857142857143,"ind_L",1.47592424285714,"dry","ug_m3",1
"6","Tovel","A",2002,6,26,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.150676623376623,"ind_L",2.14128056246753,"dry","ug_m3",1
"7","Tovel","A",2002,7,2,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,2.10392207792208,"ind_L",29.8990470415584,"dry","ug_m3",1
"8","Tovel","A",2002,7,15,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,1.37662337662338,"ind_L",19.5633324675325,"dry","ug_m3",1
"9","Tovel","A",2002,7,30,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,2.05194805194805,"ind_L",29.160438961039,"dry","ug_m3",1
"10","Tovel","A",2002,8,13,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.909090909090909,"ind_L",12.9191818181818,"dry","ug_m3",1
"11","Tovel","A",2002,8,21,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,1.68831168831169,"ind_L",23.9927662337662,"dry","ug_m3",1
"12","Tovel","A",2002,9,3,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,1.2987012987013,"ind_L",18.455974025974,"dry","ug_m3",1
"13","Tovel","A",2002,9,18,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"14","Tovel","A",2002,10,15,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.0519480519480519,"ind_L",0.738238961038961,"dry","ug_m3",1
"15","Tovel","A",2002,10,30,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"16","Tovel","A",2002,11,12,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.0208,"ind_L",0.29559088,"dry","ug_m3",1
"17","Tovel","A",2002,11,28,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"18","Tovel","A",2003,1,21,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
"19","Tovel","A",2003,4,22,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.051948051948052,"ind_L",0.738238961038961,"dry","ug_m3",1
"20","Tovel","A",2003,6,3,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.103896103896104,"ind_L",1.47647792207792,"dry","ug_m3",1
"21","Tovel","A",2003,7,2,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.623376623376623,"ind_L",8.85886753246753,"dry","ug_m3",1
"22","Tovel","A",2003,7,30,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.623376623376623,"ind_L",8.85886753246753,"dry","ug_m3",1
"23","Tovel","A",2003,8,7,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.155844155844156,"ind_L",2.21471688311688,"dry","ug_m3",1
"24","Tovel","A",2003,8,21,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0.0173160173160173,"ind_L",0.246079653679654,"dry","ug_m3",1
"25","Tovel","A",2003,9,10,12:00:00,"day","Ascomorpha ecaudis",0,35,"bottle+net",20,31.4,364,0,"ind_L",0,"dry","ug_m3",1
